dimension_id,member_id,name_en,name_ne,sort_order,parent_member_id
sex,all,All,सबै,0,
sex,female,Female,महिला,1,
sex,male,Male,पुरुष,2,
age_band,all,All ages,सबै उमेर,0,
age_band,0-4,0–4,०–४,1,
age_band,5-9,5–9,५–९,2,
age_band,10-14,10–14,१०–१४,3,
age_band,15-19,15–19,१५–१९,4,
age_band,20-24,20–24,२०–२४,5,
age_band,25-29,25–29,२५–२९,6,
age_band,30-34,30–34,३०–३४,7,
age_band,35-39,35–39,३५–३९,8,
age_band,40-44,40–44,४०–४४,9,
age_band,45-49,45–49,४५–४९,10,
age_band,50-54,50–54,५०–५४,11,
age_band,55-59,55–59,५५–५९,12,
age_band,60-64,60–64,६०–६४,13,
age_band,65-69,65–69,६५–६९,14,
age_band,70-74,70–74,७०–७४,15,
age_band,75-79,75–79,७५–७९,16,
age_band,80+,80 and over,८० र माथि,17,
literacy_status,all,All,सबै,0,
literacy_status,can_read_and_write,Can read and write,पढ्न र लेख्न सक्ने,1,
literacy_status,can_read_only,Can read only,पढ्न मात्र सक्ने,2,
literacy_status,cannot_read_or_write,Cannot read or write,पढ्न र लेख्न नसक्ने,3,
literacy_status,not_stated,Not stated,उल्लेख नभएको,4,
residence_type,all,All,सबै,0,
residence_type,household,In household,घरपरिवारमा,1,
residence_type,institutional,In institution,संस्थागत,2,
party,party_2528,Rastriya Swatantra Party,राष्ट्रिय स्वतन्त्र पार्टी,1,
party,party_2583,Nepali Congress,नेपाली काँग्रेस,2,
party,party_2598,CPN (Unified Marxist-Leninist),नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),3,
party,party_2557,Nepal Communist Party,नेपाली कम्युनिष्ट पार्टी,4,
party,party_2501,Shram Sanskriti Party,श्रम संस्कृति पार्टी,5,
party,party_2604,Rastriya Prajatantra Party,राष्ट्रिय प्रजातन्त्र पार्टी,6,
party,party_2542,"Janata Samajwadi Party, Nepal","जनता समाजवादी पार्टी, नेपाल",7,
party,party_2568,Rastriya Parivartan Party,राष्ट्रिय परिवर्तन पार्टी,8,
party,party_2585,Janamat Party,जनमत पार्टी,9,
party,party_2531,"Joint symbol: Grinding Mill (Rastriya Mukti Party Nepal / Janata Samajwadi Party / Nagarik Unmukti Party, Nepal)","एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",10,
party,party_2578,Nepal Workers and Peasants Party,नेपाल मजदुर किसान पार्टी,11,
party,party_2527,Rastra Nirman Dal Nepal,राष्ट्र निर्माण दल नेपाल,12,
party,party_2522,Rastriya Janamorcha,राष्ट्रिय जनमोर्चा,13,
party,party_2567,Joint symbol: Bus (Nepal Federal Socialist Party / Bahujan Ekta Party Nepal / Nepal Janajagriti Party),एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),14,
party,party_2541,Nepal Janata Sanrakshan Party,नेपाल जनता संरक्षण पार्टी,15,
party,party_2516,Progressive Democratic Party,प्रगतिशील लोकतान्त्रिक पार्टी,16,
party,party_2526,Nepal Communist Party (Maoist),नेपाल कम्युनिस्ट पार्टी (माओवादी),17,
party,party_2511,Mongol National Organisation,मंगोल नेशनल अर्गनाइजेशन,18,
party,party_2581,Joint symbol: Mobile Phone (Aam Janata Party / Janadesh Party Nepal),एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),19,
party,party_2520,Sarvabhaum Nagarik Party,सार्वभौम नागरिक पार्टी,20,
party,party_2591,"Rastriya Mukti Andolan, Nepal","राष्ट्रिय मुक्ति आन्दोलन, नेपाल",21,
party,party_2521,Sanyukta Nagarik Party,संयुक्त नागरिक पार्टी,22,
party,party_2569,Swabhiman Party,स्वाभिमान पार्टी,23,
party,party_2605,Rastriya Janamukti Party,राष्ट्रिय जनमुक्ति पार्टी,24,
party,party_2507,Nepal Janata Party,नेपाल जनता पार्टी,25,
party,party_2548,Rastriya Ekta Dal,राष्ट्रिय एकता दल,26,
party,party_2602,Nepal Communist Party (Marxist-Leninist),नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),27,
party,party_2558,Rastriya Gaurav Party,राष्ट्रिय गौरव पार्टी,28,
party,party_2504,National Republic Nepal,नेशनल रिपब्लिक नेपाल,29,
party,party_2571,Gatishil Loktantrik Party,गतिशील लोकतान्त्रिक पार्टी,30,
party,party_2524,Nepali Party for Nepal,नेपालका लागि नेपाली पार्टी,31,
party,party_2523,Nepal Communist Party Marxist (Pushpa Lal),नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),32,
party,party_2550,Sanghiya Loktantrik Rastriya Manch,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,33,
party,party_2601,Nepal Communist Party (United),नेपाल कम्युनिष्ट पार्टी (संयुक्त),34,
party,party_2534,"Rastriya Urjashil Party, Nepal","राष्ट्रिय उर्जाशील पार्टी, नेपाल",35,
party,party_2572,Samabeshi Samajbadi Party Nepal,समावेशी समाजवादी पार्टी नेपाल,36,
party,party_2553,Nepal Loktantrik Party,नेपाल लोकतान्त्रिक पार्टी,37,
party,party_2565,Nepal Matribhumi Party,नेपाल मातृभूमि पार्टी,38,
party,party_2510,Jaya Matribhumi Party,जय मातृभूमि पार्टी,39,
party,party_2551,Rastriya Janata Party Nepal,राष्ट्रिय जनता पार्टी नेपाल,40,
party,party_2536,Bahujan Shakti Party,बहुजन शक्ति पार्टी,41,
party,party_2582,Prajatantrik Party Nepal,प्रजातान्त्रिक पार्टी नेपाल,42,
party,party_2529,Nepal Janamukti Party,नेपाल जनमुक्ति पार्टी,43,
party,party_2540,Jana Adhikar Party,जन अधिकार पार्टी,44,
party,party_2555,Nepal Sadbhavana Party,नेपाल सद्‍भावना पार्टी,45,
party,party_2552,People First Party,पिपुल फर्ष्ट पार्टी,46,
party,party_2509,Nepali Congress (B.P.),नेपाली काँग्रेस (वी.पी.),47,
party,party_2549,"Nagarik Shakti, Nepal","नागरिक शक्ति, नेपाल",48,
party,party_2579,Nepali Jana Shramdan Sanskriti Party,नेपाली जनश्रमदान संस्कृति पार्टी,49,
party,party_2595,Nepali Janata Dal,नेपाली जनता दल,50,
party,party_2590,Samabeshi Samajbadi Party,समावेशी समाजवादी पार्टी,51,
party,party_2574,"Janata Loktantrik Party, Nepal","जनता लोकतान्त्रिक पार्टी, नेपाल",52,
party,party_2537,Joint symbol: Maned Lion (Sachet Nepali Party / Nagarik Sarvochchata Party Nepal),एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),53,
party,party_2564,Janapriya Loktantrik Party,जनप्रिय लोकतान्त्रिक पार्टी,54,
party,party_2530,Miteri Party Nepal,मितेरी पार्टी नेपाल,55,
party,party_2515,Unnat Loktantra Party,उन्‍नत लोकतन्त्र पार्टी,56,
party,party_2505,,त्रिमुल नेपाल,57,
party,independent,Independent,स्वतन्त्र,58,
