table_name,dataset_id
datasets,datanepal-internal
dimension_members,datanepal-internal
dimensions,datanepal-internal
geography,cod-ab-npl
geography,wikidata-np-places
indicators,datanepal-internal
licences,datanepal-internal
observation_dimensions,cod-ps-npl
observation_dimensions,worldbank-npl
observations,cod-ps-npl
observations,worldbank-npl
observations,nso-nphc-2021
organisations,datanepal-internal
place_boundaries,cod-ab-npl
place_identifiers,cod-ab-npl
place_identifiers,wikidata-np-places
places,cod-ab-npl
places,wikidata-np-places
protected_areas,cod-ab-npl
table_sources,datanepal-internal
topics,datanepal-internal
units,datanepal-internal
